model,code,startyear,timescale,env_r,prior_r,wt,env_q,perucpue,shape
43,y2t1e1r2w1q1p0s1,2012,yearly,1+2elnino,"U(0.05,2.5)",expert,cpue_specific,peru_nom,schaefer
44,y2t1e1r2w1q1p0s2,2012,yearly,1+2elnino,"U(0.05,2.5)",expert,cpue_specific,peru_nom,free
45,y2t1e1r2w4q0p0s1,2012,yearly,1+2elnino,"U(0.05,2.5)",reduce_kortpe,no_env,peru_nom,schaefer
46,y2t1e1r2w4q0p0s2,2012,yearly,1+2elnino,"U(0.05,2.5)",reduce_kortpe,no_env,peru_nom,free
47,y2t1e1r2w4q1p0s1,2012,yearly,1+2elnino,"U(0.05,2.5)",reduce_kortpe,cpue_specific,peru_nom,schaefer
48,y2t1e1r2w4q1p0s2,2012,yearly,1+2elnino,"U(0.05,2.5)",reduce_kortpe,cpue_specific,peru_nom,free
49,y2t2e0r2w1q0p0s1,2012,quarterly,no_env,"U(0.05,2.5)",expert,no_env,peru_nom,schaefer
50,y2t2e0r2w1q0p0s2,2012,quarterly,no_env,"U(0.05,2.5)",expert,no_env,peru_nom,free
51,y2t2e0r2w1q1p0s1,2012,quarterly,no_env,"U(0.05,2.5)",expert,cpue_specific,peru_nom,schaefer
52,y2t2e0r2w1q1p0s2,2012,quarterly,no_env,"U(0.05,2.5)",expert,cpue_specific,peru_nom,free
53,y2t2e0r2w4q0p0s1,2012,quarterly,no_env,"U(0.05,2.5)",reduce_kortpe,no_env,peru_nom,schaefer
54,y2t2e0r2w4q0p0s2,2012,quarterly,no_env,"U(0.05,2.5)",reduce_kortpe,no_env,peru_nom,free
55,y2t2e0r2w4q1p0s1,2012,quarterly,no_env,"U(0.05,2.5)",reduce_kortpe,cpue_specific,peru_nom,schaefer
56,y2t2e0r2w4q1p0s2,2012,quarterly,no_env,"U(0.05,2.5)",reduce_kortpe,cpue_specific,peru_nom,free
57,y2t2e1r2w1q0p0s1,2012,quarterly,1+2elnino,"U(0.05,2.5)",expert,no_env,peru_nom,schaefer
58,y2t2e1r2w1q0p0s2,2012,quarterly,1+2elnino,"U(0.05,2.5)",expert,no_env,peru_nom,free
59,y2t2e1r2w1q1p0s1,2012,quarterly,1+2elnino,"U(0.05,2.5)",expert,cpue_specific,peru_nom,schaefer
60,y2t2e1r2w1q1p0s2,2012,quarterly,1+2elnino,"U(0.05,2.5)",expert,cpue_specific,peru_nom,free
61,y2t2e1r2w4q0p0s1,2012,quarterly,1+2elnino,"U(0.05,2.5)",reduce_kortpe,no_env,peru_nom,schaefer
62,y2t2e1r2w4q0p0s2,2012,quarterly,1+2elnino,"U(0.05,2.5)",reduce_kortpe,no_env,peru_nom,free
63,y2t2e1r2w4q1p0s1,2012,quarterly,1+2elnino,"U(0.05,2.5)",reduce_kortpe,cpue_specific,peru_nom,schaefer
64,y2t2e1r2w4q1p0s2,2012,quarterly,1+2elnino,"U(0.05,2.5)",reduce_kortpe,cpue_specific,peru_nom,free
